section,title,description,punishment,url
101,Punishment for murder,"Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.",Death or imprisonment for life and fine,https://devgan.in/all/bareact/bharatiya_nyaya_sanhita_2023/section/101/
104,Causing death by negligence,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both",https://devgan.in/all/bareact/bharatiya_nyaya_sanhita_2023/section/104/
